date_time,point_id,field,longitude,latitude,soil_moisture,easting,northing
2022-04-29 11:12:00,WP19,CAIONE1_DURUMWHEAT24,15.50945,41.49505,0.259716544,542523.4154562897,4593839.935673173
2022-04-29 11:13:00,WP20,CAIONE1_DURUMWHEAT24,15.50925,41.49497,0.271925494,542506.7738529134,4593830.955774775
2022-04-29 11:14:00,WP21,CAIONE1_DURUMWHEAT24,15.50905,41.4949,0.246449485,542490.1256730682,4593823.086111222
2022-04-29 11:15:00,WP22,CAIONE1_DURUMWHEAT24,15.50886,41.49482,0.246612271,542474.3186883542,4593814.11120212
2022-04-29 11:16:00,WP23,CAIONE1_DURUMWHEAT24,15.50866,41.49474,0.2573154505,542457.6769652672,4593805.1314181825
2022-04-29 11:17:00,WP24,CAIONE1_DURUMWHEAT24,15.50844,41.49467,0.230170885,542439.3592728919,4593797.252053441
2022-04-29 11:18:00,WP25,CAIONE1_DURUMWHEAT24,15.50823,41.49458,0.2410368505,542421.8892916873,4593787.157249268
2022-04-29 11:19:00,WP26,CAIONE1_DURUMWHEAT24,15.50802,41.4945,0.25662361,542404.4127398282,4593778.172683847
2022-04-29 11:20:00,WP27,CAIONE1_DURUMWHEAT24,15.50783,41.49444,0.25336789,542388.5925123604,4593771.418356464
2022-04-29 11:21:00,WP28,CAIONE1_DURUMWHEAT24,15.50764,41.49436,0.2442925705,542372.7852900171,4593762.443672222
2022-04-29 11:22:00,WP29,CAIONE1_DURUMWHEAT24,15.50742,41.49428,0.214055071,542354.4739130088,4593753.454329047
2022-04-28 16:05:00,WP1,CAIONE1_DURUMWHEAT27,15.50713,41.49442,0.278192755,542330.1763131947,4593768.855074692
2022-04-28 16:05:00,WP2,CAIONE1_DURUMWHEAT27,15.50736,41.49449,0.251088886,542349.3288961897,4593776.739057804
2022-04-28 16:06:00,WP3,CAIONE1_DURUMWHEAT27,15.50756,41.49455,0.274692856,542365.9838492231,4593783.498198157
2022-04-28 16:06:00,WP4,CAIONE1_DURUMWHEAT27,15.50777,41.49463,0.2813263855,542383.4604346423,4593792.482670353
2022-04-28 16:07:00,WP5,CAIONE1_DURUMWHEAT27,15.50796,41.49471,0.279006685,542399.2675775278,4593801.457378983
2022-04-28 16:07:00,WP6,CAIONE1_DURUMWHEAT27,15.50816,41.4948,0.264111766,542415.9028560992,4593811.547223605
2022-04-28 16:08:00,WP7,CAIONE1_DURUMWHEAT27,15.50835,41.49486,0.3012676705,542431.7229701463,4593818.301612115
2022-04-28 16:09:00,WP8,CAIONE1_DURUMWHEAT27,15.50859,41.49495,0.272658031,542451.6969515613,4593828.411168274
2022-04-28 16:10:00,WP9,CAIONE1_DURUMWHEAT27,15.5088,41.49502,0.27046042,542469.1798554402,4593836.2856541695
2022-04-28 16:11:00,WP10,CAIONE1_DURUMWHEAT27,15.50898,41.49511,0.27127435,542484.1455681087,4593846.365835757
2022-04-28 16:12:00,WP11,CAIONE1_DURUMWHEAT27,15.50919,41.49517,0.281204296,542501.6349309811,4593853.130204958
2022-04-28 16:13:00,WP12,CAIONE1_DURUMWHEAT27,15.50943,41.49526,0.2866169305,542521.6087197692,4593863.239956578
2022-04-28 16:14:00,WP13,CAIONE1_DURUMWHEAT27,15.50959,41.49532,0.28592509,542534.9245481398,4593869.979822019
2022-04-28 16:15:00,WP14,CAIONE1_DURUMWHEAT27,15.50982,41.4954,0.264925696,542554.0700990475,4593878.974549479
2022-04-28 16:16:00,WP15,CAIONE1_DURUMWHEAT27,15.51003,41.49548,0.2548736605,542571.5462230325,4593887.959481884
2022-04-28 16:17:00,WP16,CAIONE1_DURUMWHEAT27,15.50989,41.49567,0.259472365,542559.7361867969,4593908.984296072
2022-04-28 16:18:00,WP17,CAIONE1_DURUMWHEAT27,15.50969,41.49561,0.28511116,542543.0817009794,4593902.224703819
2022-04-28 16:19:00,WP18,CAIONE1_DURUMWHEAT27,15.50948,41.49554,0.3183602005,542525.5990364044,4593894.350036313
2022-04-28 16:20:00,WP19,CAIONE1_DURUMWHEAT27,15.50929,41.49547,0.3277203955,542509.7857139972,4593886.485243186
2022-04-28 16:21:00,WP20,CAIONE1_DURUMWHEAT27,15.50911,41.4954,0.321493831,542494.8070482819,4593878.625399193
2022-04-28 16:22:00,WP21,CAIONE1_DURUMWHEAT27,15.50892,41.49534,0.278355541,542478.9871247011,4593871.870870352
2022-04-28 16:23:00,WP22,CAIONE1_DURUMWHEAT27,15.50871,41.49526,0.29813404,542461.5108491848,4593862.886163432
2022-04-28 16:24:00,WP23,CAIONE1_DURUMWHEAT27,15.50851,41.49519,0.297889861,542444.8626957122,4593855.016603702
