date_time,point_id,field,latitude,longitude,easting,northing,soil_moisture,soil_moisture_1,soil_moisture_2,soil_moisture_3,soil_moisture_4,soil_moisture_5,soil_moisture_6
2014-07-24 09:00:00,P_35,Big,48.69804,12.87216,343430.35193100554,5396073.781529592,0.2224,0.213,,0.266,0.193,0.244,0.196
2014-07-24 09:00:00,P_36,Big,48.69816,12.87267,343468.24849240074,5396086.072215365,0.23116666666666666,0.272,0.265,0.183,0.233,0.223,0.21100000000000002
2014-07-24 09:00:00,P_37,Big,48.69827,12.87321,343508.32117295894,5396097.190076259,0.24559999999999998,0.23800000000000002,0.244,0.258,0.247,0.24100000000000002,
2014-07-24 09:00:00,P_38,Big,48.69924,12.8724,343451.7330022326,5396206.668206326,0.1882,0.18899999999999997,0.195,0.20600000000000002,0.16399999999999998,0.187,
2014-07-24 09:00:00,P_39,Big,48.69908,12.87162,343393.84765109647,5396190.4862670405,0.1708,0.17600000000000002,0.17800000000000002,0.15,0.179,0.171,
2014-07-24 09:00:00,P_40,Big,48.69891,12.87086,343337.40241438185,5396173.152322682,0.19016666666666668,0.17600000000000002,0.2,0.115,0.245,0.21100000000000002,0.19399999999999998
2014-07-24 09:00:00,P_41,Big,48.69877,12.87011,343281.7857310682,5396159.132870103,0.1628,0.11800000000000001,0.179,0.14,0.18600000000000003,0.191,
2014-07-24 09:00:00,P_42,Big,48.69863,12.8693,343221.7541683048,5396145.237349492,0.21399999999999997,0.157,0.19,0.217,0.228,0.273,0.21899999999999997
2014-07-24 09:00:00,P_43,Big,48.69845,12.86853,343164.5410285847,5396126.814192583,0.1665,0.22899999999999998,0.149,0.142,0.127,0.14300000000000002,0.209
2014-07-24 09:00:00,P_44,Big,48.69485,12.87049,343297.5737340952,5395722.645472128,0.18516666666666667,0.162,0.155,0.21600000000000003,0.18,0.18899999999999997,0.209
2014-07-24 09:00:00,P_45,Big,48.69497,12.87104,343338.4162037042,5395734.85311832,0.19783333333333333,0.237,0.25,0.10400000000000001,0.18600000000000003,0.19399999999999998,0.21600000000000003
2014-07-24 09:00:00,P_46,Big,48.69511,12.87171,343388.15031886316,5395749.037541373,0.17266666666666666,0.192,0.21600000000000003,0.183,0.126,0.11800000000000001,0.201
2014-07-24 09:00:00,P_47,Big,48.69524,12.87227,343429.7592060313,5395762.336798096,0.17099999999999996,0.222,0.249,0.215,0.099,0.065,0.17600000000000002
2014-07-24 09:00:00,P_48,Big,48.69534,12.87287,343474.21808776853,5395772.2197495755,0.16316666666666665,0.163,0.192,0.21600000000000003,0.17300000000000001,0.098,0.13699999999999998
2014-07-24 09:00:00,P_49,Big,48.69547,12.87345,343517.2981909127,5395785.4785868395,0.19499999999999998,0.20199999999999999,0.233,0.172,0.128,0.22899999999999998,0.20600000000000002
2014-07-24 09:00:00,P_50,Big,48.69555,12.87378,343541.82789382886,5395793.693284027,0.1785,0.09300000000000001,0.131,0.185,0.223,0.22899999999999998,0.21
2014-07-24 09:00:00,P_51,Big,48.69566,12.87427,343578.2234098404,5395804.914290771,0.1895,0.18,0.218,0.24600000000000002,0.182,0.138,0.17300000000000001
2014-07-24 09:00:00,P_52,Big,48.69573,12.87475,343613.7590233314,5395811.7100592945,0.18800000000000003,0.171,0.175,0.20600000000000002,0.29100000000000004,0.157,0.128
2014-07-30 12:11:00,P_1,Triangular,48.68995,12.85765,342337.4793681004,5395204.483903459,0.1256,0.102,0.121,0.124,0.152,0.129,
2014-07-30 12:11:00,P_2,Triangular,48.69056,12.85453,342109.7900370453,5395278.741226852,0.13366666666666668,0.14400000000000002,0.16,0.142,0.091,0.121,0.14400000000000002
2014-08-04 14:45:00,P_1,Triangular,48.68973,12.85409,342074.81473149476,5395187.398553753,0.16616666666666666,0.068,0.21899999999999997,0.18899999999999997,0.165,0.133,0.223
2014-08-04 14:45:00,P_2,Triangular,48.68977,12.85439,342097.01660540234,5395191.223196415,0.1992,0.205,0.175,0.155,0.249,0.212,
